individual,mode,choice,wait,vcost,travel,gcost,income,size
189,train,no,34,31,372,71,45,1
189,bus,no,35,25,417,70,45,1
189,car,yes,0,13,210,36,45,1
190,air,no,69,58,73,66,60,1
190,train,no,34,31,324,66,60,1
190,bus,no,35,25,334,61,60,1
190,car,yes,0,18,240,44,60,1
191,air,no,69,62,184,82,4,1
191,train,no,34,19,454,68,4,1
191,bus,no,35,16,464,66,4,1
191,car,yes,0,18,225,42,4,1
192,air,yes,30,93,85,102,30,1
192,train,no,34,33,365,72,30,1
192,bus,no,35,27,410,71,30,1
192,car,no,0,13,308,46,30,1
193,air,yes,20,76,95,86,60,1
193,train,no,34,33,344,70,60,1
193,bus,no,35,27,389,69,60,1
193,car,no,0,13,315,47,60,1
194,air,no,64,100,190,129,4,2
194,train,no,44,49,678,152,4,2
194,bus,yes,30,48,430,113,4,2
194,car,no,0,14,629,109,4,2
195,air,no,64,48,63,58,18,3
195,train,yes,10,21,255,60,18,3
195,bus,no,53,13,397,73,18,3
195,car,no,0,4,324,53,18,3
196,air,no,64,58,93,72,15,2
196,train,yes,10,30,315,78,15,2
196,bus,no,53,13,346,65,15,2
196,car,no,0,6,316,54,15,2
197,air,no,69,59,94,69,26,1
197,train,no,34,30,361,70,26,1
197,bus,no,35,24,406,68,26,1
197,car,yes,0,10,270,39,26,1
198,air,yes,30,111,105,122,40,1
198,train,no,34,71,596,136,40,1
198,bus,no,35,32,590,96,40,1
198,car,no,0,27,577,90,40,1
199,air,yes,5,64,80,76,70,2
199,train,no,44,30,348,83,70,2
199,bus,no,53,24,393,84,70,2
199,car,no,0,7,291,51,70,2
200,air,yes,5,60,85,73,45,4
200,train,no,44,24,379,81,45,4
200,bus,no,53,19,424,83,45,4
200,car,no,0,3,337,54,45,4
201,air,no,64,97,188,125,26,3
201,train,no,44,76,825,201,26,3
201,bus,yes,16,38,810,161,26,3
201,car,no,0,15,803,137,26,3
202,air,no,69,91,117,104,35,1
202,train,no,34,77,630,145,35,1
202,bus,no,35,38,624,106,35,1
202,car,yes,0,29,540,88,35,1
203,air,no,69,59,114,72,4,1
203,train,no,34,16,378,57,4,1
203,bus,yes,5,14,370,54,4,1
203,car,no,0,17,335,53,4,1
204,air,no,69,60,66,67,20,1
204,train,no,34,34,352,72,20,1
204,bus,yes,10,37,250,64,20,1
204,car,no,0,13,307,46,20,1
205,air,no,69,107,144,123,45,1
205,train,no,34,89,879,184,45,1
205,bus,yes,30,35,775,119,45,1
205,car,no,0,37,868,131,45,1
206,air,no,69,81,124,94,40,1
206,train,no,34,69,605,135,40,1
206,bus,no,35,30,599,95,40,1
206,car,yes,0,30,720,108,40,1
207,air,yes,45,126,135,141,40,1
207,train,no,34,70,596,135,40,1
207,bus,no,35,31,590,95,40,1
207,car,no,0,32,577,95,40,1
208,air,no,69,59,86,68,2,1
208,train,no,34,15,360,54,2,1
208,bus,yes,50,29,265,57,2,1
208,car,no,0,13,300,46,2,1
209,air,no,69,81,124,94,20,1
209,train,no,34,35,605,100,20,1
209,bus,no,35,31,599,96,20,1
209,car,yes,0,27,510,82,20,1
210,air,no,64,66,140,87,70,4
210,train,no,44,54,670,156,70,4
210,bus,no,53,33,664,134,70,4
210,car,yes,0,12,540,94,70,4
